imdb_id,tvdb_id,item_type,title,year,genres,runtime,actors,rating,rating_votecount,pg_rating,banner_url,season_count
tt0266543,256,movie,Finding Nemo,2003,"Adventure,Animation,Comedy",100,"Albert Brooks,Alexander Gould,Willem Dafoe",8.2,1132881,AL,https://artworks.thetvdb.com/banners/v4/movie/256/clearlogo/6124e0ff72942.png,MOVIE
tt0264464,312,movie,Catch Me If You Can,2002,"Biography,Crime,Drama",141,"Leonardo DiCaprio,Tom Hanks,Christopher Walken",8.1,1124092,12,https://artworks.thetvdb.com/banners/v4/movie/312/clearlogo/6124c4947af1c.png,MOVIE
tt0105236,879,movie,Reservoir Dogs,1992,"Crime,Thriller",99,"Harvey Keitel,Harvey Keitel,Tim Roth",8.3,1107835,16,https://artworks.thetvdb.com/banners/v4/movie/194601/clearlogo/6150e5ec47163.png,MOVIE
tt0112573,703,movie,Braveheart,1995,"Biography,Drama,War",178,"Mel Gibson,Patrick McGoohan,Angus Macfadyen",8.3,1106882,16,https://artworks.thetvdb.com/banners/v4/movie/703/clearlogo/617a2096ee0fd.png,MOVIE
tt0338013,751,movie,Eternal Sunshine of the Spotless Mind,2004,"Drama,Romance,Sci-Fi",108,"Jim Carrey,Tom Wilkinson,Gerry Robert Byrne",8.3,1099308,16,UNAVAILABLE,MOVIE
tt0119217,949,movie,Good Will Hunting,1997,"Drama,Romance",126,"Robin Williams,Matt Damon,Ben Affleck",8.3,1097137,UNAVAILABLE,UNAVAILABLE,MOVIE
tt0107290,867,movie,Jurassic Park,1993,"Action,Adventure,Sci-Fi",127,"Sam Neill,Jeff Goldblum,Richard Attenborough",8.2,1089362,6,https://artworks.thetvdb.com/banners/v4/movie/867/clearlogo/61249ff6c26cf.png,MOVIE
tt0477348,207,movie,No Country for Old Men,2007,"Crime,Drama,Thriller",122,"Tommy Lee Jones,Javier Bardem,Josh Brolin",8.2,1085816,UNAVAILABLE,UNAVAILABLE,MOVIE
tt0167404,947,movie,The Sixth Sense,1999,"Drama,Mystery,Thriller",107,"Bruce Willis,Haley Joel Osment,Trevor Morgan",8.2,1072559,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/movie/947/clearlogo/617dfc0ce842c.png,MOVIE
tt2582802,129,movie,Whiplash,2014,"Drama,Music",106,"Miles Teller,J.K. Simmons,Paul Reiser",8.5,1023113,16,https://artworks.thetvdb.com/banners/v4/movie/129/clearlogo/6124c6e8b439e.png,MOVIE
tt1392170,1211,movie,The Hunger Games,2012,"Action,Adventure,Sci-Fi",142,"Josh Hutcherson,Liam Hemsworth,Stanley Tucci",7.2,1020558,12,https://artworks.thetvdb.com/banners/v4/movie/1211/clearlogo/6124b06e2f5b9.png,MOVIE
tt0268978,1472,movie,A Beautiful Mind,2001,"Biography,Drama,Mystery",135,"Russell Crowe,Ed Harris,Christopher Plummer",8.2,1001952,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/movie/1472/clearlogo/617a0dd469236.png,MOVIE
tt0198781,331,movie,"Monsters, Inc.",2001,"Adventure,Animation,Comedy",92,"Billy Crystal,John Goodman,Steve Buscemi",8.1,1000665,AL,https://artworks.thetvdb.com/banners/v4/movie/331/clearlogo/6124c446c2fd9.png,MOVIE
tt6751668,41517,movie,Parasite,2019,"Drama,Thriller",132,"Song Kang-ho,Lee Sun-kyun,Choi Woo-sik",8.5,999148,16,https://artworks.thetvdb.com/banners/v4/movie/41517/clearlogo/6124a27173011.png,MOVIE
tt2488496,200722,movie,Star Wars: Episode VII - The Force Awakens,2015,"Action,Adventure,Sci-Fi",138,"John Boyega,Oscar Isaac,Domhnall Gleeson",7.8,985524,UNAVAILABLE,UNAVAILABLE,MOVIE
tt1201607,142,movie,Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure,Family,Fantasy",130,"Daniel Radcliffe,Rupert Grint,Michael Gambon",8.1,967709,12,https://artworks.thetvdb.com/banners/v4/movie/142/clearlogo/6124963d50b7d.png,MOVIE
tt1675434,556,movie,The Intouchables,2011,"Comedy,Drama",112,"François Cluzet,Omar Sy,Cyril Mendy",8.5,948452,16,https://artworks.thetvdb.com/banners/v4/movie/556/clearlogo/6124dcfb3a696.png,MOVIE
tt3659388,132,movie,The Martian,2015,"Adventure,Drama,Sci-Fi",144,"Matt Damon,Jeff Daniels,Michael Peña",8.0,945124,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/movie/132/clearlogo/6124c6ac69f97.png,MOVIE
tt2395427,59,movie,Avengers: Age of Ultron,2015,"Action,Adventure,Sci-Fi",141,"Robert Downey Jr.,Robert Downey Jr.,Chris Evans",7.3,938914,12,https://artworks.thetvdb.com/banners/v4/movie/59/clearlogo/6124972e769c5.png,MOVIE
tt0253474,1361,movie,The Pianist,2002,"Biography,Drama,Music",150,"Adrien Brody,Thomas Kretschmann,Frank Finlay",8.5,934460,16,https://artworks.thetvdb.com/banners/v4/movie/1361/clearlogo/6124b00e4cc48.png,MOVIE
tt0208092,753,movie,Snatch,2000,"Comedy,Crime",102,"Jason Statham,Brad Pitt,Stephen Graham",8.2,925083,16,https://artworks.thetvdb.com/banners/v4/movie/753/clearlogo/6124da343b169.png,MOVIE
tt0180093,9496,movie,Requiem for a Dream,2000,Drama,102,"Jared Leto,Marlon Wayans,Christopher McDonald",8.3,915949,16,UNAVAILABLE,MOVIE
tt0800369,123,movie,Thor,2011,"Action,Fantasy",115,"Chris Hemsworth,Anthony Hopkins,Tom Hiddleston",7.0,914355,12,https://artworks.thetvdb.com/banners/v4/movie/123/clearlogo/612496791ca73.png,MOVIE
tt1843866,965,movie,Captain America: The Winter Soldier,2014,"Action,Adventure,Sci-Fi",136,"Chris Evans,Chris Evans,Samuel L. Jackson",7.7,913825,12,https://artworks.thetvdb.com/banners/v4/movie/965/clearlogo/61249338cd941.png,MOVIE
tt1300854,188,movie,Iron Man 3,2013,"Action,Adventure,Sci-Fi",130,"Robert Downey Jr.,Guy Pearce,Don Cheadle",7.1,913418,12,https://artworks.thetvdb.com/banners/v4/movie/188/clearlogo/66fcf966daeb4.png,MOVIE
tt0458339,180,movie,Captain America: The First Avenger,2011,"Action,Adventure,Sci-Fi",124,"Chris Evans,Chris Evans,Hugo Weaving",6.9,911845,12,https://artworks.thetvdb.com/banners/v4/movie/180/clearlogo/612492c0a09bc.png,MOVIE
tt0435761,329,movie,Toy Story 3,2010,"Adventure,Animation,Comedy",103,"Tom Hanks,Tim Allen,Ned Beatty",8.3,908227,AL,https://artworks.thetvdb.com/banners/v4/movie/329/clearlogo/66fd22b5533ca.png,MOVIE
tt1160419,6187,movie,Dune: Part One,2021,"Action,Adventure,Drama",155,"Timothée Chalamet,Oscar Isaac,Jason Momoa",8.0,907807,12,https://artworks.thetvdb.com/banners/v4/movie/6187/clearlogo/6124ae83a026e.png,MOVIE
tt2278388,421,movie,The Grand Budapest Hotel,2014,"Adventure,Comedy,Crime",99,"Ralph Fiennes,F. Murray Abraham,Mathieu Amalric",8.1,903138,16,UNAVAILABLE,MOVIE
tt0145487,301,movie,Spider-Man,2002,"Action,Adventure,Sci-Fi",121,"Tobey Maguire,Tobey Maguire,Willem Dafoe",7.4,898497,12,UNAVAILABLE,MOVIE
tt1663202,593,movie,The Revenant,2015,"Action,Adventure,Drama",156,"Leonardo DiCaprio,Tom Hardy,Will Poulter",8.0,890251,16,https://artworks.thetvdb.com/banners/v4/movie/195169/clearlogo/6150c61ebb548.png,MOVIE
tt0903624,138,movie,The Hobbit: An Unexpected Journey,2012,"Adventure,Fantasy",169,"Martin Freeman,Ian McKellen,Richard Armitage",7.8,887004,12,https://artworks.thetvdb.com/banners/v4/movie/138/clearlogo/6124b463ab9cc.png,MOVIE
tt1010048,1166,movie,Slumdog Millionaire,2008,"Crime,Drama,Romance",120,"Dev Patel,Saurabh Shukla,Anil Kapoor",8.0,885181,UNAVAILABLE,UNAVAILABLE,MOVIE
tt1228705,187,movie,Iron Man 2,2010,"Action,Sci-Fi",124,"Robert Downey Jr.,Mickey Rourke,Don Cheadle",6.9,883511,12,https://artworks.thetvdb.com/banners/v4/movie/187/clearlogo/6124928483cb4.png,MOVIE
tt0241527,66,movie,Harry Potter and the Sorcerer's Stone,2001,"Adventure,Family,Fantasy",152,"Daniel Radcliffe,Rupert Grint,Richard Harris",7.6,875099,6,https://artworks.thetvdb.com/banners/v4/movie/66/clearlogo/612491b124532.png,MOVIE
tt0245429,276,movie,Spirited Away,2001,"Adventure,Animation,Family",124,"Miyu Irino,Takashi Naitô,Tatsuya Gashûin",8.6,874293,6,https://artworks.thetvdb.com/banners/v4/movie/276/clearlogo/6124e0c5c4dc1.png,MOVIE
tt7131622,12999,movie,Once Upon a Time... in Hollywood,2019,"Comedy,Drama",161,"Leonardo DiCaprio,Brad Pitt,Emile Hirsch",7.6,873605,16,https://artworks.thetvdb.com/banners/v4/movie/12999/clearlogo/66bbc16306797.png,MOVIE
tt0118715,659,movie,The Big Lebowski,1998,"Comedy,Crime",117,"Jeff Bridges,John Goodman,Steve Buscemi",8.1,873217,16,https://artworks.thetvdb.com/banners/v4/movie/659/clearlogo/617b86f576bca.png,MOVIE
tt1454468,418,movie,Gravity,2013,"Drama,Sci-Fi,Thriller",91,"George Clooney,Ed Harris,Orto Ignatiussen",7.7,871425,UNAVAILABLE,UNAVAILABLE,MOVIE
tt3498820,118,movie,Captain America: Civil War,2016,"Action,Sci-Fi",147,"Chris Evans,Chris Evans,Robert Downey Jr.",7.8,867574,12,https://artworks.thetvdb.com/banners/v4/movie/118/clearlogo/612496b54d20c.png,MOVIE
tt3315342,143,movie,Logan,2017,"Action,Drama,Sci-Fi",137,"Hugh Jackman,Hugh Jackman,Patrick Stewart",8.1,863569,16,UNAVAILABLE,MOVIE
tt1119646,1257,movie,The Hangover,2009,Comedy,100,"Zach Galifianakis,Bradley Cooper,Justin Bartha",7.7,863382,16,https://artworks.thetvdb.com/banners/v4/movie/1257/clearlogo/6124edc26b3d0.png,MOVIE
tt0382932,534,movie,Ratatouille,2007,"Adventure,Animation,Comedy",111,"Brad Garrett,Lou Romano,Patton Oswalt",8.1,851236,AL,https://artworks.thetvdb.com/banners/v4/movie/534/clearlogo/6124f05d5ee00.png,MOVIE
tt0947798,721,movie,Black Swan,2010,"Drama,Thriller",108,"Vincent Cassel,Vincent Cassel,Benjamin Millepied",8.0,839759,UNAVAILABLE,UNAVAILABLE,MOVIE
tt2084970,335,movie,The Imitation Game,2014,"Biography,Drama,Thriller",114,"Benedict Cumberbatch,Matthew Goode,Allen Leech",8.0,837211,12,UNAVAILABLE,MOVIE
tt1392214,1992,movie,Prisoners,2013,"Crime,Drama,Mystery",153,"Hugh Jackman,Jake Gyllenhaal,Terrence Howard",8.2,835074,UNAVAILABLE,UNAVAILABLE,MOVIE
tt2096673,159,movie,Inside Out,2015,"Adventure,Animation,Comedy",95,"Bill Hader,Lewis Black,Richard Kind",8.1,834278,6,https://artworks.thetvdb.com/banners/v4/movie/159/clearlogo/6124f23bd5589.png,MOVIE
tt0480249,587,movie,I Am Legend,2007,"Action,Drama,Horror",101,"Will Smith,Charlie Tahan,Darrell Foster",7.2,830545,12,https://artworks.thetvdb.com/banners/v4/movie/587/clearlogo/66fd16312e362.png,MOVIE
tt0317705,263,movie,The Incredibles,2004,"Action,Adventure,Animation",115,"Craig T. Nelson,Craig T. Nelson,Samuel L. Jackson",8.0,828993,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/movie/263/clearlogo/6124f1a571499.png,MOVIE
tt1205489,1578,movie,Gran Torino,2008,Drama,116,"Clint Eastwood,Bee Vang,Christopher Carley",8.1,824988,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/movie/1578/clearlogo/66b9da2053879.png,MOVIE
tt1877830,15778,movie,The Batman,2022,"Action,Crime,Drama",176,"Robert Pattinson,Robert Pattinson,Jeffrey Wright",7.8,822840,12,https://artworks.thetvdb.com/banners/v4/movie/15778/clearlogo/6124eb029f328.png,MOVIE
tt1211837,145,movie,Doctor Strange,2016,"Action,Adventure,Fantasy",115,"Benedict Cumberbatch,Chiwetel Ejiofor,Benedict Wong",7.5,822077,12,https://artworks.thetvdb.com/banners/v4/movie/145/clearlogo/612493edea507.png,MOVIE
tt0770828,652,movie,Man of Steel,2013,"Action,Adventure,Sci-Fi",143,"Henry Cavill,Henry Cavill,Michael Shannon",7.1,821148,12,https://artworks.thetvdb.com/banners/v4/movie/652/clearlogo/612495db147e4.png,MOVIE
tt0892769,170,movie,How to Train Your Dragon,2010,"Action,Adventure,Animation",98,"Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse",8.1,817287,6,UNAVAILABLE,MOVIE
